key,en,ja,zh,ko
Keiki,Keiki-dō (Kyŏnggi-do),京畿道 (Keiki-dō),京畿道,경기도 (Kyŏnggi-do)
Kogen,Kōgen-dō (Kangwŏn-do),江原道 (Kōgen-dō),江原道,강원도 (Kangwŏn-do)
Chuseihoku,Chūseihoku-dō (Ch’ungch’ŏngbuk-to),忠清北道 (Chūseihoku-dō),忠清北道,충청북도 (Ch’ungch’ŏngbuk-to)
Chuseinan,Chūseinan-dō (Ch’ungch’ŏngnam-do),忠清南道 (Chūseinan-dō),忠清南道,충청남도 (Ch’ungch’ŏngnam-do)
Zenrahoku,Zenrahoku-dō (Chŏllabuk-to),全羅北道 (Zenrahoku-dō),全羅北道,전라북도 (Chŏllabuk-to)
Zenranan,Zenranan-dō (Chŏllanam-do),全羅南道 (Zenranan-dō),全羅南道,전라남도 (Chŏllanam-do)
Keishohoku,Keishōhoku-dō (Kyŏngsangbuk-to),慶尚北道 (Keishōhoku-dō),慶尚北道,경상북도 (Kyŏngsangbuk-to)
Keishonan,Keishōnan-dō (Kyŏngsangnam-do),慶尚南道 (Keishōnan-dō),慶尚南道,경상남도 (Kyŏngsangnam-do)
Kokai,Kōkai-dō (Hwanghae-do),黄海道 (Kōkai-dō),黃海道,황해도 (Hwanghae-do)
Heianhoku,Heianhoku-dō (P’yŏnganbuk-to),平安北道 (Heianhoku-dō),平安北道,평안북도 (P’yŏnganbuk-to)
Heiannan,Heiannan-dō (P’yŏngannam-do),平安南道 (Heiannan-dō),平安南道,평안남도 (P’yŏngannam-do)
Kankyohoku,Kankyōhoku-dō (Hamgyŏngbuk-to),咸鏡北道 (Kankyōhoku-dō),咸鏡北道,함경북도 (Hamgyŏngbuk-to)
Kankyonan,Kankyōnan-dō (Hamgyŏngnam-do),咸鏡南道 (Kankyōnan-dō),咸鏡南道,함경남도 (Hamgyŏngnam-do)
